window,k,beta,n_samples,accuracy,balanced_accuracy,precision,recall,f1,kappa,pred_positive_rate
120,1.5,1.0,656977,0.46574842041654424,0.5495071808684486,0.20494232180446545,0.6805885825111729,0.31502323321227216,0.05198066945329893,0.5994471648170332
240,1.5,1.0,656857,0.46538592113656396,0.5479058128485902,0.20418264877348988,0.6770463458862227,0.3137461819418307,0.05035051494525622,0.5985290557914432
120,1.0,1.0,656977,0.39809003968175444,0.5398917349496601,0.19745506920751765,0.7618095960873598,0.31362182296611685,0.03773533644314575,0.6964277288246011
360,1.5,2.5,656737,0.7015913523982964,0.5731879988520292,0.2661489352715073,0.37231465302573713,0.31040501073225657,0.12667195236784123,0.25234302315843327
120,1.0,2.5,656977,0.5760566960487201,0.5542257960312236,0.2177146911701891,0.5200607133822414,0.3069358422769609,0.07035840671525428,0.43118556661800944
240,1.5,2.5,656857,0.7027617883344472,0.5668461574654172,0.2613596753311423,0.35414329692573693,0.30075818079585703,0.11743827284922093,0.2445829153072891
720,2.0,2.5,656377,0.776846233186111,0.5750555449577867,0.3431856785267298,0.25936811168258633,0.2954472209528849,0.16591243104245834,0.13633628234993
500,2.0,2.5,656597,0.7738628108261232,0.5736366668302524,0.33621854968822223,0.26041728234529227,0.2935027240501511,0.16146952240119572,0.13970822285206907
360,2.0,2.5,656737,0.7733065138708494,0.5719335312770982,0.3334209747921254,0.2569069867558054,0.29020538932433204,0.1580067185041658,0.13899171205520627
120,1.5,2.5,656977,0.7043366814972214,0.5585939724600473,0.25444028978733346,0.3305084745762712,0.2875283346904641,0.10495489772432498,0.23447396179774938
240,2.0,2.5,656857,0.7749510167357583,0.5702155927499765,0.3346855296164885,0.2498123392232109,0.2860868431346981,0.15583851534236637,0.1347294768876635
120,2.0,2.5,656977,0.7783758031103067,0.567046342785457,0.33739856974308347,0.236318407960199,0.27795409914109453,0.15182570859906386,0.12643060563764028
240,2.5,2.5,656857,0.8059912583713046,0.5696615579645338,0.4211508719534958,0.1998144477712647,0.2710361633241428,0.17522635160297384,0.08563964454972696
360,2.5,2.5,656737,0.8039945975329545,0.5689163461070026,0.41145392703603306,0.2011615048916576,0.27021418933475444,0.1721412764680622,0.08819207688922659
120,2.5,2.5,656977,0.811107542577594,0.5699056327871701,0.44615625244388835,0.1924276920482334,0.2688849874512484,0.1796404338291061,0.07785356260569244
500,2.5,2.5,656597,0.8035019958970266,0.5674272538458042,0.40796634038632057,0.19812889988432278,0.26672350099460074,0.1686901845454849,0.08759863356061633
720,2.5,2.5,656377,0.804921561846317,0.5665346466997683,0.41314613221829716,0.1935949732701614,0.2636479173735271,0.16785243624340784,0.08453068891810651
